rank,name,birthYear,country,estimatedNetWorthUSDBillions,sourceOfWealth,companies,roles,industries,relatedPeople,relationshipTypes,companyRelationships
13,Michael Dell,1965,United States,141,Dell Technologies,Dell Technologies|Dell Family Office,Founder of Dell|Chairman and CEO of Dell Technologies|Private investor,Personal computers|Enterprise hardware|Servers|Storage|Networking|Artificial intelligence infrastructure|Investments,Jensen Huang|Larry Ellison|Zhang Yiming|Jeff Yass,PARTNERED_WITH|INVESTED_IN,"Dell Technologies and NVIDIA jointly offer the Dell AI Factory with NVIDIA.|Dell Family Office is an investor in TikTok USDS Joint Venture.|TikTok USDS creates a corporate connection between Michael Dell's investment organization, Oracle, ByteDance, and a Susquehanna affiliate.|Dell competes and partners with multiple cloud, semiconductor, and enterprise-technology firms."
14,Alice Walton,1949,United States,134,Walmart,Walmart family holdings|philanthropic organizations,Walton family shareholder|Philanthropist|Founder of Crystal Bridges Museum,Retail|Art|Philanthropy|Healthcare,Rob Walton|Jim Walton|Jeff Bezos|Bill Gates|Steve Ballmer,SHARED_FAMILY_OWNERSHIP|PARTNERED_WITH|COMPETES_WITH,Alice Walton is connected to Rob Walton and Jim Walton through common family ownership of Walmart.|Walmart's strategic relationship with Microsoft creates a technology connection to the company associated with Bill Gates and Steve Ballmer.|Walmart competes with Amazon and other global retailers.
15,Steve Ballmer,1956,United States,126,Microsoft,Microsoft|the Los Angeles Clippers,Former CEO of Microsoft|Microsoft shareholder|Owner of Los Angeles Clippers,Software|Cloud computing|Enterprise technology|Gaming|Professional sports,Bill Gates|Rob Walton|Jim Walton|Alice Walton|Jeff Bezos|Larry Page|Sergey Brin|Larry Ellison,FORMER_EXECUTIVE_OF|PARTNERED_WITH|COMPETES_WITH,"Steve Ballmer and Bill Gates are connected through Microsoft's history, ownership, and leadership.|Microsoft has a strategic cloud, AI, and technology relationship with Walmart.|Microsoft Azure competes with Amazon Web Services, Google Cloud, and Oracle Cloud while also partnering with many hardware and AI suppliers."
16,Carlos Slim Helu And Family,1940,Mexico,125,Telecommunications,America Movil|Grupo Carso|Grupo Financiero Inbursa,Chairman of Grupo Carso|Controlling shareholder of America Movil|Investor,Telecommunications|Infrastructure|Construction|Retail|Mining|Real estate|Financial services,Mukesh Ambani,OWNS_STAKE_IN|OWNS_SUBSIDIARY|COMPETES_WITH,"America Movil operates telecommunications networks and purchases infrastructure, devices, software, and cloud services from global technology suppliers.|Grupo Carso acts as a holding company for multiple industrial, retail, and infrastructure businesses.|Slim's group may both partner and compete with technology and telecom companies connected to other billionaires."
17,Changpeng Zhao,1977,Canada,110,Cryptocurrency exchange,Binance,Founder and former CEO of Binance|Cryptocurrency investor,Cryptocurrency|Blockchain|Digital assets|Financial technology,Giancarlo Devasini,COMPETES_WITH|USES_ASSET_ISSUED_BY,"Binance competes with other cryptocurrency exchanges and interacts with stablecoin issuers such as Tether.|Tether's USDT stablecoin is widely used across cryptocurrency markets, creating an operational relationship between exchanges and Tether.|Regulatory status, ownership, and product availability vary by jurisdiction and should be verified for current use."
18,Michael Bloomberg,1942,United States,109,Bloomberg LP,Bloomberg LP|Bloomberg Philanthropies,Co-founder and owner of Bloomberg LP|Founder of Bloomberg Philanthropies|Former Mayor of New York City,Financial data|Software|Media|Analytics|Philanthropy,Thomas Peterffy|Jeff Yass,SUPPLIES_DATA_TO|COMPETES_WITH,"Bloomberg LP supplies financial information used by banks, brokerages, investment funds, companies, and professional investors.|Its products compete with and complement services offered by exchanges, brokers, media companies, and financial-data providers.|Interactive Brokers and Susquehanna operate in financial markets where Bloomberg data and terminals are widely used."
19,Bill Gates,1955,United States,108,Microsoft,Microsoft|Cascade Investment|the Gates Foundation,Co-founder of Microsoft|Former CEO of Microsoft|Investor through Cascade Investment|Co-chair of Gates Foundation,Software|Cloud computing|Investments|Global health|Philanthropy|Energy,Steve Ballmer|Rob Walton|Jim Walton|Alice Walton|Jeff Bezos|Larry Page|Sergey Brin|Larry Ellison,CO_FOUNDED|PARTNERED_WITH|COMPETES_WITH,"Bill Gates and Steve Ballmer are connected through Microsoft's founding-era growth and later executive leadership.|Microsoft's strategic partnership with Walmart links Gates' historic company to the Walton family's retailer.|Microsoft competes with Amazon, Alphabet, and Oracle in cloud computing and enterprise technology."
20,Francoise Bettencourt Meyers And Family,1953,France,100,L'Oreal,L'Oreal|family holding companies,L'Oreal heiress|Major L'Oreal shareholder|Family holding company leader,Cosmetics|Skincare|Haircare|Fragrance|Beauty retail,Bernard Arnault,OWNS_STAKE_IN|COMPETES_WITH,"L'Oreal owns and operates a large portfolio of beauty brands through subsidiary and brand relationships.|L'Oreal works with retailers, e-commerce companies, advertising platforms, cloud providers, suppliers, and packaging manufacturers.|The company competes with beauty businesses owned by luxury groups, including brands within LVMH."
21,Mukesh Ambani,1957,India,99.7,Diversified,Reliance Industries|Jio Platforms|Reliance Retail|energy businesses,Chairman and Managing Director of Reliance Industries|Controlling shareholder,Energy|Petrochemicals|Telecommunications|Digital services|Retail|Media|New energy,Mark Zuckerberg|Larry Page|Sergey Brin,RECEIVED_INVESTMENT_FROM|PARTNERED_WITH,"Meta invested $5.7 billion in Jio Platforms in 2020.|Google invested $4.5 billion for a 7.73 percent stake in Jio Platforms in 2020.|Google and Jio agreed to collaborate on an affordable Android-based smartphone.|These transactions connect Mukesh Ambani's Reliance group to Mark Zuckerberg's Meta and to Alphabet, associated with Larry Page and Sergey Brin."
22,Giancarlo Devasini,1964,Italy,89.3,Cryptocurrency,Tether|Bitfinex,Chairman of Tether|Major Tether shareholder|Associated with Bitfinex,Cryptocurrency|Stablecoins|Digital assets|Financial technology,Changpeng Zhao,CONTROLS|SHARED_OWNERSHIP|SUPPLIES_ASSET_TO,"Tether's USDT is used on cryptocurrency exchanges, including platforms that compete with Binance.|Tether and Bitfinex have shared ownership and management links.|A 2026 U.S. securities filing stated that Devasini had greater than 50 percent voting interest in a Tether investment entity involved in that filing."
23,Thomas Peterffy,1944,United States,82.9,Brokerage,Interactive Brokers,Founder and Chairman of Interactive Brokers|Electronic trading pioneer,Brokerage|Electronic trading|Financial technology|Market access,Michael Bloomberg|Jeff Yass,COMPETES_WITH|USES_DATA_FROM,"Interactive Brokers connects customers to global exchanges, market makers, clearing systems, and financial-data providers.|The firm operates in the same broad financial-market ecosystem as Bloomberg LP and Susquehanna International Group.|It competes with other online brokerages while relying on exchanges, banks, data vendors, and technology providers."
24,Julia Koch And Family,1962,United States,81.2,Koch Industries,Koch Industries family ownership,Koch Industries shareholder|Investor|Philanthropist,Manufacturing|Chemicals|Energy|Materials|Consumer products|Software|Investments,Charles Koch,SHARED_FAMILY_OWNERSHIP|OWNS_STAKE_IN,"Julia Koch's family and Charles Koch's family are connected through shared ownership of Koch Industries.|Koch Industries owns and invests in numerous operating companies through subsidiaries and investment arms.|Because Koch Industries is private, current ownership percentages and subsidiary structures should be verified from official company information."
25,Charles Koch And Family,1935,United States,73.8,Koch Industries,Koch Industries,Chairman and CEO of Koch Industries|Controlling shareholder,Manufacturing|Chemicals|Energy|Materials|Electronics|Software|Consumer products|Investments,Julia Koch,SHARED_FAMILY_OWNERSHIP|OWNS_SUBSIDIARY|INVESTED_IN,"Charles Koch and Julia Koch's family are linked through common ownership of Koch Industries.|Koch Industries controls multiple subsidiaries and investment businesses.|Its companies buy from, sell to, invest in, and compete with businesses across energy, manufacturing, electronics, software, and consumer markets."
26,Zhang Yiming,1983,China,69.3,TikTok,ByteDance|TikTok|Douyin|CapCut|other digital platforms,Co-founder of ByteDance|Former CEO of ByteDance|ByteDance shareholder,Social media|Digital advertising|Artificial intelligence|Mobile applications|Video platforms,Jeff Yass|Larry Ellison|Michael Dell|Mark Zuckerberg|Larry Page|Sergey Brin,RECEIVED_INVESTMENT_FROM|OWNS_STAKE_IN|USES_CLOUD_FROM|COMPETES_WITH,"Susquehanna International Group was an early investor in ByteDance, connecting Zhang Yiming to Jeff Yass.|TikTok USDS Joint Venture uses Oracle's secure U.S. cloud environment and has Oracle as a 15 percent managing investor.|ByteDance retains 19.9 percent of TikTok USDS Joint Venture.|Dell Family Office and a Susquehanna affiliate are members of the TikTok USDS investor consortium.|TikTok competes with Meta's Instagram and Google's YouTube."
27,Zhong Shanshan,1954,China,68.1,Beverages and pharmaceuticals,Nongfu Spring|Beijing Wantai Biological Pharmacy,Founder and Chairman of Nongfu Spring|Major shareholder of Wantai Biological Pharmacy,Beverages|Bottled water|Pharmaceuticals|Diagnostics|Vaccines,,FOUNDED|OWNS_STAKE_IN|SUPPLIER_RELATIONSHIP,"Nongfu Spring operates through beverage manufacturing, packaging, distribution, retail, and logistics relationships.|Wantai works within pharmaceutical, diagnostics, research, healthcare, and regulatory ecosystems.|Both companies depend on suppliers, distributors, technology providers, and public-market investors."
28,Jeff Yass,1958,United States,67.4,Trading,Susquehanna International Group,Co-founder and Managing Director of Susquehanna International Group|Investor,Quantitative trading|Market making|Options|Venture capital|Technology investments,Zhang Yiming|Michael Dell|Larry Ellison|Thomas Peterffy|Michael Bloomberg,INVESTED_IN|CONSORTIUM_MEMBER|BOARD_REPRESENTATION|COMPETES_WITH,"Susquehanna was an early investor in ByteDance, the company founded by Zhang Yiming.|Vastmere Strategic Investments, an affiliate of Susquehanna, is part of the TikTok USDS investor consortium.|A Susquehanna managing director sits on the TikTok USDS board.|SIG operates in the broader financial-market ecosystem alongside Interactive Brokers and financial-data companies such as Bloomberg LP."
29,Dieter Schwarz,1939,Germany,67.2,Retail,Schwarz Group|Lidl|Kaufland,Owner of Schwarz Group|Retail entrepreneur,Discount retail|Hypermarkets|Logistics|Food production|Recycling|Technology,Rob Walton|Jim Walton|Alice Walton|Jeff Bezos|Amancio Ortega,OWNS_SUBSIDIARY|COMPETES_WITH,"Schwarz Group competes with Walmart, Amazon, Aldi, Carrefour, and other retailers in various markets.|Lidl and Kaufland depend on large networks of food producers, consumer-goods suppliers, logistics providers, property owners, and technology partners.|The group's private structure makes current ownership and valuation less transparent than publicly traded retailers."
30,German Larrea Mota Velasco And Family,1953,Mexico,67.1,Mining,Grupo Mexico|Southern Copper|Grupo Mexico Transportes,"Chairman, President and CEO of Grupo Mexico|Controlling shareholder",Mining|Copper|Rail transport|Infrastructure|Industrial materials,Carlos Slim Helu,CONTROLS|OWNS_SUBSIDIARY|SUPPLIES_TO,"Grupo Mexico controls Southern Copper through corporate ownership.|Grupo Mexico's mining businesses sell copper and other materials into global industrial supply chains.|Its transportation businesses support freight movement and connect mining, manufacturing, and export markets."
